Vertex: node:111984, Triagle Count: 15
Vertex: node:117816, Triagle Count: 21
Vertex: node:44392, Triagle Count: 4
Vertex: node:73288, Triagle Count: 3
Vertex: node:110787, Triagle Count: 302
Vertex: node:58776, Triagle Count: 15
Vertex: node:15558, Triagle Count: 33
Vertex: node:24847, Triagle Count: 20
Vertex: node:112082, Triagle Count: 3
Vertex: node:70524, Triagle Count: 1
Vertex: node:119110, Triagle Count: 6
Vertex: node:111983, Triagle Count: 474
Vertex: node:8833, Triagle Count: 21
Vertex: node:71989, Triagle Count: 3
Vertex: node:131398, Triagle Count: 15
Vertex: node:25910, Triagle Count: 8
Vertex: node:23779, Triagle Count: 33
Vertex: node:58646, Triagle Count: 3
Vertex: node:102382, Triagle Count: 103
Vertex: node:57447, Triagle Count: 1
Vertex: node:23648, Triagle Count: 20
Vertex: node:118179, Triagle Count: 115
Vertex: node:130068, Triagle Count: 11
Vertex: node:24844, Triagle Count: 36
Vertex: node:22316, Triagle Count: 37
Vertex: node:76882, Triagle Count: 79
Vertex: node:71854, Triagle Count: 8
Vertex: node:117814, Triagle Count: 10
Vertex: node:33108, Triagle Count: 12
Vertex: node:56117, Triagle Count: 21
Vertex: node:73286, Triagle Count: 1
Vertex: node:131266, Triagle Count: 191
Vertex: node:36833, Triagle Count: 500
Vertex: node:131133, Triagle Count: 778
Vertex: node:58645, Triagle Count: 38
Vertex: node:26141, Triagle Count: 473
Vertex: node:125009, Triagle Count: 4
Vertex: node:29740, Triagle Count: 10
Vertex: node:59843, Triagle Count: 164
Vertex: node:35630, Triagle Count: 8
Vertex: node:26148, Triagle Count: 1
Vertex: node:19387, Triagle Count: 109
Vertex: node:125006, Triagle Count: 1
Vertex: node:8705, Triagle Count: 1
Vertex: node:128732, Triagle Count: 591
Vertex: node:102388, Triagle Count: 176
Vertex: node:33367, Triagle Count: 46
Vertex: node:33101, Triagle Count: 1
Vertex: node:132469, Triagle Count: 129
Vertex: node:71856, Triagle Count: 8
Vertex: node:80371, Triagle Count: 3
Vertex: node:110650, Triagle Count: 45
Vertex: node:103453, Triagle Count: 5
Vertex: node:65977, Triagle Count: 11
Vertex: node:103586, Triagle Count: 414
Vertex: node:125007, Triagle Count: 91
Vertex: node:26147, Triagle Count: 3
Vertex: node:40431, Triagle Count: 19
Vertex: node:58647, Triagle Count: 3
Vertex: node:71726, Triagle Count: 3
Vertex: node:25915, Triagle Count: 126
Vertex: node:19385, Triagle Count: 3
Vertex: node:126469, Triagle Count: 1
Vertex: node:27478, Triagle Count: 34
Vertex: node:117817, Triagle Count: 10
Vertex: node:89804, Triagle Count: 4
Vertex: node:105980, Triagle Count: 66
Vertex: node:125137, Triagle Count: 3
Vertex: node:29741, Triagle Count: 10
Vertex: node:16757, Triagle Count: 1
Vertex: node:27479, Triagle Count: 6
